,gene_id,gene_name,wild_type_growth,knockout_growth,growth_ratio,growth_drop,is_essential,reactions
b4381,b4381,deoC,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,['DRPA']
b0414,b0414,ribD,0.9823718127269792,-9.59532467741064e-16,-9.76750814009499e-16,0.9823718127269802,True,"['DHPPDA2', 'APRAUR']"
b0062,b0062,araA,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,['ARAI']
b3809,b3809,dapF,0.9823718127269792,-1.231262255001386e-16,-1.2533566609403303e-16,0.9823718127269793,True,['DAPE']
b1185,b1185,dsbB,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,"['DSBAO1', 'DSBAO2']"
b0175,b0175,cdsA,0.9823718127269792,4.052071775319293e-16,4.1247842444411066e-16,0.9823718127269787,True,"['DASYN161', 'DASYN140', 'DASYN181', 'DASYN180', 'DASYN160', 'DASYN141', 'DASYN120']"
b3041,b3041,ribB,0.9823718127269792,-9.59532467741064e-16,-9.76750814009499e-16,0.9823718127269802,True,['DB4PS']
b0778,b0778,bioD,0.9823718127269792,-9.59532467741063e-16,-9.76750814009498e-16,0.9823718127269802,True,['DBTS']
b0152,b0152,fhuD,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,"['FE3HOXabcpp', 'FECRMabcpp', 'ARBTNabcpp', 'FEOXAMabcpp', 'CPGNabcpp']"
b0153,b0153,fhuB,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,"['FE3HOXabcpp', 'FECRMabcpp', 'ARBTNabcpp', 'FEOXAMabcpp', 'CPGNabcpp']"
b0151,b0151,fhuC,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,"['FE3HOXabcpp', 'FECRMabcpp', 'ARBTNabcpp', 'FEOXAMabcpp', 'CPGNabcpp']"
b3860,b3860,dsbA,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,"['DSBAO1', 'DSBAO2']"
b2893,b2893,dsbC,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,"['DSBCGT', 'TDSR1']"
b3722,b3722,bglF,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,['ARBTptspp']
b1734,b1734,chbF,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,['DC6PH']
b2582,b2582,trxC,0.9823718127269792,0.9823718127269728,0.9999999999999936,6.328271240363392e-15,False,"['DSBDR', 'RNDR3', 'THIORDXi', 'RNDR4', 'METSOXR1', 'RNDR1', 'RNDR2', 'METSOXR2', 'PAPSR', 'TRDR']"
b2065,b2065,dcd,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,['DCTPD']
b2344,b2344,fadL,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,"['TTDCEAtexi', 'DDCAtexi', 'OCDCEAtexi', 'HDCEAtexi', 'HDCAtexi', 'TTDCAtexi', 'OCDCAtexi']"
b2715,b2715,ascF,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,['ARBTptspp']
b3781,b3781,trxA,0.9823718127269792,0.9823718127269728,0.9999999999999936,6.328271240363392e-15,False,"['DSBDR', 'RNDR3', 'THIORDXi', 'RNDR4', 'METSOXR1', 'RNDR1', 'RNDR2', 'METSOXR2', 'PAPSR', 'TRDR']"
b1900,b1900,araG,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,['ARBabcpp']
b4136,b4136,dsbD,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,"['TDSR2', 'TDSR1', 'DSBDR']"
b4460,b4460,araH,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,['ARBabcpp']
b3693,b3693,dgoK,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,['DDGALK']
b3909,b3909,kdgT,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,"['GLCURt2rpp', 'DDGLCNt2rpp']"
b0604,b0604,dsbG,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,"['TDSR2', 'DSBGGT']"
